token	corpus size	all contexts size	frequency	co-frequency	specificity
programming	34555	15576	201	161	23.84
edit	34555	15576	59	53	12.27
first-order	34555	15576	47	43	10.68
formal	34555	15576	63	54	10.67
informal	34555	15576	34	33	10.16
classical	34555	15576	36	34	9.49
visibility	34555	15576	25	25	8.66
semantics	34555	15576	90	68	8.55
programs	34555	15576	43	38	8.48
programmable	34555	15576	42	37	8.18
of	34555	15576	1170	619	8.10
program	34555	15576	57	46	7.53
Main	34555	15576	26	25	7.50
device	34555	15576	39	34	7.31
to	34555	15576	592	328	7.08
Aristotelian	34555	15576	18	18	6.23
array	34555	15576	34	29	5.90
Formal	34555	15576	53	41	5.89
article	34555	15576	27	24	5.62
Audi	34555	15576	15	15	5.19
modal	34555	15576	22	20	5.08
used	34555	15576	78	54	5.04
into	34555	15576	42	32	4.51
reasoning	34555	15576	79	53	4.40
use	34555	15576	46	34	4.30
mathematical	34555	15576	28	23	4.27
propositional	34555	15576	19	17	4.17
as	34555	15576	197	114	4.07
was	34555	15576	63	43	3.96
1999	34555	15576	29	23	3.85
the	34555	15576	1224	606	3.81
system	34555	15576	41	30	3.75
a	34555	15576	566	293	3.72
language	34555	15576	77	50	3.69
philosophical	34555	15576	14	13	3.61
concurrent	34555	15576	14	13	3.61
in	34555	15576	510	265	3.59
both	34555	15576	25	20	3.50
solution	34555	15576	10	10	3.46
is	34555	15576	450	235	3.45
Boolean	34555	15576	27	21	3.36
Craig	34555	15576	13	12	3.30
different	34555	15576	16	14	3.29
represent	34555	15576	16	14	3.29
theory	34555	15576	59	39	3.26
apply	34555	15576	21	17	3.15
First-order	34555	15576	9	9	3.12
Honderich	34555	15576	9	9	3.12
datalog	34555	15576	9	9	3.12
can	34555	15576	119	70	3.10
computer	34555	15576	33	24	3.06
that	34555	15576	275	147	3.01
sense	34555	15576	23	18	3.00
than	34555	15576	23	18	3.00
known	34555	15576	12	11	2.99
Concurrent	34555	15576	12	11	2.99
disjunction	34555	15576	12	11	2.99
also	34555	15576	76	47	2.90
are	34555	15576	205	112	2.89
conditions	34555	15576	25	19	2.89
modern	34555	15576	17	14	2.79
mathematics	34555	15576	17	14	2.79
more	34555	15576	43	29	2.79
Separation	34555	15576	8	8	2.77
which	34555	15576	79	48	2.74
corresponding	34555	15576	14	12	2.71
today	34555	15576	14	12	2.71
be	34555	15576	149	83	2.65
page	34555	15576	26	19	2.58
based	34555	15576	35	24	2.55
In	34555	15576	108	62	2.55
temporal	34555	15576	7	7	2.42
e	34555	15576	7	7	2.42
governed	34555	15576	7	7	2.42
linear	34555	15576	7	7	2.42
science	34555	15576	18	14	2.40
2005	34555	15576	25	18	2.37
basic	34555	15576	34	23	2.37
Programmable	34555	15576	20	15	2.30
form	34555	15576	44	28	2.23
gate	34555	15576	31	21	2.22
by	34555	15576	144	78	2.22
constraint	34555	15576	17	13	2.16
concepts	34555	15576	17	13	2.16
BUTTON	34555	15576	17	13	2.16
uses	34555	15576	17	13	2.16
logical	34555	15576	116	64	2.16
Propositional	34555	15576	12	10	2.16
similar	34555	15576	12	10	2.16
Jacquette	34555	15576	12	10	2.16
function	34555	15576	12	10	2.16
mrow	34555	15576	19	14	2.08
symbolic	34555	15576	6	6	2.08
principles	34555	15576	6	6	2.08
extend	34555	15576	6	6	2.08
seen	34555	15576	6	6	2.08
Complex	34555	15576	6	6	2.08
conditional	34555	15576	6	6	2.08
well-founded	34555	15576	9	8	2.07
Constraint	34555	15576	9	8	2.07
arguments	34555	15576	47	29	2.06
See	34555	15576	14	11	2.03
term	34555	15576	21	15	2.02
but	34555	15576	36	23	1.98
or	34555	15576	139	74	1.98
higher-order	34555	15576	16	12	1.93
include	34555	15576	25	17	1.93
it	34555	15576	113	61	1.91
using	34555	15576	58	34	1.90
natural	34555	15576	27	18	1.90
because	34555	15576	11	9	1.89
even	34555	15576	11	9	1.89
our	34555	15576	11	9	1.89
databases	34555	15576	11	9	1.89
MATH	34555	15576	29	19	1.88
symbols	34555	15576	18	13	1.87
study	34555	15576	20	14	1.82
However	34555	15576	20	14	1.82
model	34555	15576	51	30	1.79
Toggle	34555	15576	13	10	1.79
early	34555	15576	13	10	1.79
Gottlob	34555	15576	8	7	1.78
provide	34555	15576	8	7	1.78
translation	34555	15576	8	7	1.78
default	34555	15576	8	7	1.78
extensions	34555	15576	8	7	1.78
any	34555	15576	24	16	1.75
introduces	34555	15576	5	5	1.73
interfacing	34555	15576	5	5	1.73
truths	34555	15576	5	5	1.73
There	34555	15576	5	5	1.73
additional	34555	15576	5	5	1.73
List	34555	15576	5	5	1.73
varieties	34555	15576	5	5	1.73
sections	34555	15576	5	5	1.73
take	34555	15576	5	5	1.73
non-monotonic	34555	15576	5	5	1.73
Field-programmable	34555	15576	5	5	1.73
History	34555	15576	15	11	1.71
Horn	34555	15576	15	11	1.71
some	34555	15576	30	19	1.70
Prolog	34555	15576	30	19	1.70
have	34555	15576	60	34	1.69
its	34555	15576	60	34	1.69
between	34555	15576	34	21	1.68
state	34555	15576	17	12	1.66
with	34555	15576	153	78	1.66
this	34555	15576	98	52	1.64
microcontroller	34555	15576	10	8	1.64
development	34555	15576	10	8	1.64
database	34555	15576	10	8	1.64
frame	34555	15576	10	8	1.64
CPLDs	34555	15576	10	8	1.64
field	34555	15576	23	15	1.58
problem	34555	15576	23	15	1.58
way	34555	15576	25	16	1.57
Hintikka	34555	15576	25	16	1.57
circuit	34555	15576	25	16	1.57
RDF	34555	15576	45	26	1.56
philosophy	34555	15576	12	9	1.55
stable	34555	15576	12	9	1.55
Datalog	34555	15576	12	9	1.55
been	34555	15576	39	23	1.55
and	34555	15576	783	355	1.54
Classical	34555	15576	14	10	1.50
devices	34555	15576	14	10	1.50
Concepts	34555	15576	7	6	1.49
studied	34555	15576	7	6	1.49
so-called	34555	15576	7	6	1.49
epistemic	34555	15576	7	6	1.49
solve	34555	15576	7	6	1.49
electronic	34555	15576	7	6	1.49
Then	34555	15576	7	6	1.49
e.g	34555	15576	7	6	1.49
result	34555	15576	7	6	1.49
