Topic	Term 0	Term 1	Term 2	Term 3	Term 4	Term 5	Term 6	Term 7	Term 8	Term 9
Topic 0	système	fraude	données	choses	connaissance	modèle	concept	ensemble	fonction	société
Topic 1	logique	définition	logiques	science	mathématiques	propositions	philosophie	langage	pensée	vérité
Topic 2	prix	faire	pays	monde	medasys	europe	états	parti	groupe	ans
Topic 3	politique	politiques	vie	ressources	recherche	formation	nationale	web	niveau	site
Topic 4	connecteurs	texte	conséquences	mafia	mafieux	mafias	exemple	mafieuse	effet	contrôle
Topic 5	d’un	d’une	sociale	temps	sens	logiques	salariés	sociales	l’emploi	social
Topic 6	ainsi	d’un	peuvent	jeu	raisonnement	doit	manière	comment	premier	également
Topic 7	c’est	travail	peut	d’une	n’est	qu’il	faire	folie	sujet	faut
Topic 8	j’ai	widget	int	gtkwidget	bouton	texte	gtk	boite	vraiment	puis
Topic 9	événement	alimentaires	médias	journalistes	public	faits	liberté	toucher	alimentaire	crise

Document Title	Topic 0 Weight	Topic 1 Weight	Topic 2 Weight	Topic 3 Weight	Topic 4 Weight	Topic 5 Weight	Topic 6 Weight	Topic 7 Weight	Topic 8 Weight	Topic 9 Weight
dump_fr_1	4.545455	64.454544	0.909091	2.272727	2	0.909091	10.454545	11	2.545454	0.909091
dump_fr_10	9.57265	42.905983	3.247863	1.709402	2.222222	6.837607	13.675214	10.427351	5.982906	3.418804
dump_fr_11	6.454545	63.545454	0.909091	2.181818	2.636363	2.545454	18.636364	0.909091	1.272727	0.909091
dump_fr_12	8.545455	10.181818	0.909091	0.909091	2.545454	9	11.909091	52.363634	2.272727	1.363636
dump_fr_13	5.181818	2.545454	46.727273	3.181818	4.818182	3.363637	4	0.909091	1.272727	28
dump_fr_14	4	1.428571	4.428572	54.571426	2.142857	1.428571	18.571429	9.285715	1.428571	2.714286
dump_fr_15	5.623472	3.422983	2.322738	2.689487	6.968215	4.523227	42.542788	28.973106	1.222494	1.711492
dump_fr_16	4.824561	12.280702	4.385965	17.982456	27.192983	4.385965	12.280702	4.385965	7.894737	4.385965
dump_fr_17	6.090909	4	7.909091	5.090909	46.90909	4.454545	13.727273	4.909091	2.272727	4.636364
dump_fr_18	1.529052	2.140673	1.529052	3.058104	77.675843	1.681957	6.727829	2.599388	1.529052	1.529052
dump_fr_19	29.074073	4.444445	7.962963	21.666667	14.814815	7.222222	4.259259	1.851852	2.037037	6.666667
dump_fr_2	11.272727	61.18182	1.636364	1.090909	1.090909	2	14.272727	3.909091	1.909091	1.636364
dump_fr_20	1.529052	1.529052	1.529052	3.058104	77.06422	1.529052	7.95107	2.752294	1.529052	1.529052
dump_fr_21	1.727273	9.818182	3.545454	1.727273	0.909091	5.636363	11.545455	59.54546	2.818182	2.727273
dump_fr_22	2.505447	7.298475	1.089325	1.089325	62.85403	1.851852	17.538126	2.505447	2.178649	1.089325
dump_fr_23	7.454546	2	5.636363	4	2.727273	5.181818	12.90909	14.545454	3.454546	42.090908
dump_fr_24	6.818182	3.846154	46.503496	7.517482	3.321678	12.412588	8.566434	5.244755	3.846154	1.923077
dump_fr_25	1	4.181818	2.818182	0.909091	1.090909	0.909091	4.363636	3.454546	80.09091	1.181818
dump_fr_26	8.728179	4.239402	17.206983	4.488778	5.486284	15.9601	17.206983	2.493766	21.69576	2.493766
dump_fr_27	8.571429	6.122449	35.306123	6.122449	2.040816	2.040816	18.163265	10.204082	2.040816	9.387755
dump_fr_28	4.308797	7.360862	34.829444	1.795332	1.795332	1.974865	7.719928	17.055656	15.61939	7.540395
dump_fr_29	4.727273	2.909091	2.818182	3.636363	2.545454	0.909091	12.90909	21.727273	44.454545	3.363637
dump_fr_3	17.318435	48.324022	2.793296	2.793296	2.793296	2.793296	10.614525	6.98324	2.793296	2.793296
dump_fr_30	2.816901	2.816901	2.816901	14.084508	7.323944	15.492958	19.43662	19.15493	2.816901	13.239437
dump_fr_31	9.950249	2.487562	5.472637	14.925373	2.487562	37.064677	11.940298	2.487562	8.208955	4.975124
dump_fr_32	5.732484	2.123142	4.883227	19.320594	3.609342	4.458599	10.403397	19.957536	26.751593	2.760085
dump_fr_33	13.727273	4.363636	22	28.272727	5.090909	11.909091	4.363636	4.090909	1.909091	4.272727
dump_fr_34	9.272727	3.818182	3.727273	53.818184	3.909091	4.818182	9.090909	7.363636	1.272727	2.909091
dump_fr_35	2.727273	3.454546	10.181818	17.454545	5.545454	16.272727	10.727273	23.181818	0.909091	9.545454
dump_fr_36	2.909091	3.636363	18.272728	8.272728	5.818182	7.727273	39.363638	11.363637	1.454546	1.181818
